GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
AC119897.1,11.97650113,0.111449949,0.234909465,0.474437884,0.635187683,NA,1.080313437
AC119897.2,0.260828452,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC119899.1,6.482110344,0.233468664,0.182089798,1.282162247,0.199785737,NA,1.175658183
AC120003.4,0,NA,NA,NA,NA,NA,#VALUE!
AC120180.2,0.483352404,-0.068520599,0.073641123,-0.930466511,0.352129596,NA,0.953615375
AC120180.3,3.364412723,0.040706424,0.19981194,0.20372368,0.838569436,NA,1.028617372
AC120180.5,1.285805771,0.102682265,0.13328552,0.770393252,0.441066655,NA,1.073767962
AC120377.3,4.14940927,0.173866871,0.196113191,0.886563877,0.375313749,NA,1.128078036
AC120413.2,10.91357919,-0.015290027,0.157035201,-0.097366878,0.922435047,NA,0.989457724
AC120785.3,0.12783109,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC120859.3,0.904327806,0.062879682,0.068522182,0.917654412,0.358799822,NA,1.044548646
AC120865.1,0,NA,NA,NA,NA,NA,#VALUE!
AC120865.2,0,NA,NA,NA,NA,NA,#VALUE!
AC120867.2,0,NA,NA,NA,NA,NA,#VALUE!
AC121119.1,0,NA,NA,NA,NA,NA,#VALUE!
AC121131.5,0,NA,NA,NA,NA,NA,#VALUE!
AC121131.6,11.85698086,0.078171463,0.138745416,0.563416546,0.573151273,NA,1.055679177
AC121131.7,0,NA,NA,NA,NA,NA,#VALUE!
AC121510.1,0.110931234,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC121548.2,2.599526546,-0.043383279,0.089052443,-0.487165513,0.626141043,NA,0.970376637
AC121564.2,6.37315998,-0.158144387,0.223468066,-0.707682264,0.479142594,NA,0.896177004
AC121566.1,3.264332743,-0.142048614,0.173653647,-0.817999602,0.413357415,NA,0.906231401
AC121575.1,8.118814525,0.024014166,0.173473312,0.138431471,0.889899426,NA,1.016784657
AC121578.1,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC121814.2,0.510888866,0.001123057,0.072916261,0.01540201,0.98771146,NA,1.000778747
AC121814.3,1.058869188,0.00059621,0.097025849,0.006144853,0.995097147,NA,1.000413346
AC121814.4,0.866735619,0.02859672,0.109831686,0.260368576,0.79457948,NA,1.020019491
AC121823.2,6.562224159,-0.151308152,0.210874711,-0.717526304,0.473049412,NA,0.900433631
AC121823.7,1.182997334,0.046561402,0.101191691,0.460130682,0.645422422,NA,1.032800355
AC121835.2,0.512796783,-0.000227185,0.072723621,-0.003123948,0.997507454,NA,0.99984254
AC121845.3,6.204748735,-0.01589162,0.152887715,-0.103943077,0.917214522,NA,0.989045214
AC121847.1,3.330957018,0.093989556,0.171034363,0.549536096,0.5826376,NA,1.067317612
AC121888.2,1.120364721,0.028335548,0.116960701,0.242265544,0.80857441,NA,1.019834853
AC121911.1,0,NA,NA,NA,NA,NA,#VALUE!
AC121911.2,0,NA,NA,NA,NA,NA,#VALUE!
AC121934.1,1.610637119,-0.060042226,0.140133902,-0.42846324,0.668313891,NA,0.959236043
AC121967.1,2.447458047,-0.039474353,0.179263464,-0.220203,0.82571306,NA,0.9730094
AC121973.1,1.656842856,-0.063876667,0.143808022,-0.44418014,0.656912349,NA,0.95668994
AC121996.1,0.757047082,-0.027484285,0.080138749,-0.342958745,0.731629497,NA,0.981129662
AC122005.1,1.195131724,0.002711119,0.129382086,0.020954362,0.983282062,NA,1.001880971
AC122005.2,0.247089165,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC122037.2,0.460803694,-0.022736496,0.062566235,-0.363398823,0.716306981,NA,0.984363797
AC122037.6,1.71321872,0.010805546,0.161710417,0.066820344,0.946724727,NA,1.007517953
AC122037.7,7.74247647,-0.069512973,0.206228584,-0.337067596,0.736065944,NA,0.952959645
AC122184.3,2.573906202,0.079165678,0.157199106,0.503601328,0.614541559,NA,1.056406936
AC122186.1,0.908915407,0.041832016,0.064823346,0.645323302,0.518717695,NA,1.029420213
AC122187.1,0.238941226,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC122221.2,0.366772316,0.016471574,0.068842046,0.239266195,0.810899177,NA,1.011482651
AC122223.2,0.46455505,0.001426593,0.071540605,0.019941029,0.984090416,NA,1.000989328
AC122232.2,1.240185523,0.007398853,0.116893593,0.063295621,0.949531103,NA,1.005141667
AC122248.2,7.176088324,-0.009809178,0.2256343,-0.04347379,0.965323858,NA,0.993223858
AC122248.4,1.716866512,0.018819216,0.124455824,0.151212015,0.879808473,NA,1.013129937
AC122263.1,0.3957812,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC122291.2,2.853510663,0.045316338,0.108649471,0.417087517,0.676614395,NA,1.03190942
AC122321.1,0,NA,NA,NA,NA,NA,#VALUE!
AC122348.1,0.128009992,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC122365.4,0.727856599,-0.014820837,0.064116342,-0.231155374,0.817194097,NA,0.989779566
AC122400.3,0.255662181,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC122400.5,0,NA,NA,NA,NA,NA,#VALUE!
AC122423.2,9.138784635,-0.297740765,0.17424625,-1.708735571,0.087499942,NA,0.813525366
AC122438.1,0,NA,NA,NA,NA,NA,#VALUE!
AC122462.1,10.8509878,0.357635554,0.233572805,1.531152371,0.125731739,NA,1.281324201
AC122506.1,0.84227861,-0.070721956,0.114412451,-0.618131645,0.536488564,NA,0.952161396
AC122506.2,0.991546709,-0.027342567,0.09976417,-0.274072018,0.784029277,NA,0.981226044
AC122514.1,17.15264554,-0.02366977,0.068013787,-0.348014289,0.727829453,NA,0.983727222
AC122514.2,0.256019983,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC122535.9,0,NA,NA,NA,NA,NA,#VALUE!
AC122733.3,3.406152027,0.299270252,0.20173553,1.483478154,0.137947416,NA,1.23052183
AC122738.1,0.398992086,0.039023457,0.062482041,0.624554779,0.532263307,NA,1.027418144
AC122767.2,1.202908151,0.048024842,0.119421628,0.402145262,0.687577124,NA,1.033848538
AC122771.3,0.41928365,-0.037501102,0.062482041,-0.600190093,0.548379556,NA,0.974341147
AC122773.2,13.59660018,0.18668817,0.237039553,0.787582357,0.430941038,NA,1.138147999
AC122789.1,3.817051545,-0.018626671,0.131931019,-0.141184927,0.887723853,NA,0.987171965
AC122800.2,0,NA,NA,NA,NA,NA,#VALUE!
AC122800.3,2.035260571,-0.044142584,0.150111437,-0.294065426,0.76870791,NA,0.969866052
AC122807.3,2.777447065,0.032280181,0.151806466,0.212640358,0.83160749,NA,1.022627113
AC122809.1,0,NA,NA,NA,NA,NA,#VALUE!
AC122831.1,0.443724937,-0.047518499,0.062558123,-0.759589588,0.447499945,NA,0.967599213
AC122835.2,0.375099157,0.039023457,0.062482041,0.624554779,0.532263307,NA,1.027418144
AC122844.3,8.146635438,-0.109528908,0.230205416,-0.475787714,0.634225624,NA,0.926890675
AC122867.1,6.621318307,-0.04142741,0.219548537,-0.188693628,0.850332946,NA,0.971693073
AC122871.4,0.389306303,0.01695712,0.069826656,0.242845942,0.808124744,NA,1.011823127
AC122871.5,1.858541839,0.030035561,0.134539469,0.223247212,0.823343109,NA,1.021037293
AC122882.1,0.119079174,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC122911.1,1.352770779,-0.091515434,0.122829255,-0.74506219,0.456234125,NA,0.938536375
AC122915.2,0.665587405,-0.053926026,0.063755363,-0.845827286,0.397649101,NA,0.963311287
AC123057.3,0,NA,NA,NA,NA,NA,#VALUE!
AC123068.2,0.119079174,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC123613.3,1.97195137,-0.082167622,0.152907736,-0.537367329,0.591013906,NA,0.944637281
AC123613.4,1.045448097,0.122733799,0.10908494,1.12512139,0.260537598,NA,1.088796096
AC123650.4,2.243871553,-0.035347829,0.16556096,-0.213503408,0.830934331,NA,0.975796471
AC123662.2,6.96357371,-0.012712522,0.228811262,-0.055558989,0.955693136,NA,0.99122706
AC123675.1,0.128009992,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC123686.3,3.367867696,-0.164518365,0.166316207,-0.989190218,0.322570084,NA,0.892226334
AC123686.7,0.230010408,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC123699.2,0.12847785,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC123699.3,0,NA,NA,NA,NA,NA,#VALUE!
AC123732.3,0.620869278,-0.017332682,0.09128803,-0.18986807,0.849412514,NA,0.988057781
AC123744.4,0.12783109,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC123760.1,0,NA,NA,NA,NA,NA,#VALUE!
AC123798.1,0.221862468,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC123813.2,1.402901499,0.102804425,0.123260231,0.834043749,0.404256331,NA,1.073858887
AC123830.1,0,NA,NA,NA,NA,NA,#VALUE!
AC123848.4,2.683676804,-0.013215077,0.162111312,-0.08151854,0.935029582,NA,0.990881831
AC123856.1,4.3839469,0.254699512,0.174266028,1.461555727,0.143862994,NA,1.193087218
AC123856.2,4.53769731,0.148862596,0.211350605,0.704339578,0.481221324,NA,1.108695045
AC123856.3,1.432519986,-0.035347323,0.128547644,-0.274974494,0.783335834,NA,0.975796813
AC123856.5,0.265994724,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC123856.7,0.12847785,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC123863.1,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC123868.4,1.749629715,-0.046358493,0.107495371,-0.431260365,0.666279066,NA,0.968377529
AC123868.5,0.255662181,0.026269364,0.062482041,0.420430633,0.674170894,NA,1.018375322
AC124347.2,5.67835938,0.357212825,0.170011641,2.101108041,0.035631483,NA,1.280948812
AC124379.6,0.243928596,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC124389.1,3.683004978,0.070072293,0.18798407,0.372756551,0.709329643,NA,1.049769286
AC124389.3,2.144917624,0.02079247,0.137900246,0.150779066,0.880150001,NA,1.014516599
AC124394.1,0,NA,NA,NA,NA,NA,#VALUE!
AC124394.3,0,NA,NA,NA,NA,NA,#VALUE!
AC124394.4,0,NA,NA,NA,NA,NA,#VALUE!
AC124410.1,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC124432.1,0.511682164,0.05065016,0.062678805,0.808090703,0.419038369,NA,1.035731578
AC124447.2,0,NA,NA,NA,NA,NA,#VALUE!
AC124457.2,6.310867322,0.007711386,0.224559348,0.03434008,0.972605965,NA,1.005359436
AC124461.3,2.551786011,0.035958276,0.153823178,0.233763705,0.815168428,NA,1.025237587
AC124468.1,1.51009848,0.123174616,0.129252108,0.952979554,0.34060043,NA,1.08912883
AC124505.5,2.384270575,-0.059255546,0.135845755,-0.436197261,0.662693615,NA,0.959759243
AC124531.2,1.128721855,0.113247917,0.120124631,0.942753508,0.345806997,NA,1.081660624
AC124550.2,2.268327442,0.035603585,0.129785687,0.274325972,0.783834127,NA,1.02498556
AC124550.3,0.499061135,-0.048337819,0.073018491,-0.661994223,0.507974924,NA,0.96704986
AC124590.1,0,NA,NA,NA,NA,NA,#VALUE!
AC124590.2,0,NA,NA,NA,NA,NA,#VALUE!
AC124604.2,0.119079174,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC124604.3,0.12783109,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC124604.5,3.362862006,-0.058770063,0.194704277,-0.30184269,0.762771986,NA,0.960082267
AC124629.1,0.512904988,0.071867418,0.074468154,0.965075855,0.334506819,NA,1.051076312
AC124659.2,6.225243838,-0.006890564,0.22356178,-0.030821746,0.975411698,NA,0.995235213
AC124698.3,0.372421169,-0.037501102,0.062482041,-0.600190093,0.548379556,NA,0.974341147
AC124698.6,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC124698.7,0,NA,NA,NA,NA,NA,#VALUE!
AC124730.4,1.084063853,-0.008182116,0.098007156,-0.083484889,0.933465993,NA,0.994344641
AC124730.5,6.391668835,0.025912139,0.220294432,0.117625028,0.906364773,NA,1.018123193
AC124754.1,0,NA,NA,NA,NA,NA,#VALUE!
AC124977.2,3.62526983,0.253898279,0.197603358,1.284888481,0.198831257,NA,1.192424794
AC124978.1,0,NA,NA,NA,NA,NA,#VALUE!
AC124992.1,1.547793897,-0.079158521,0.151221773,-0.523459813,0.60065431,NA,0.946609613
AC125047.1,5.880362349,0.11010648,0.202444576,0.543884566,0.586520911,NA,1.079307893
AC125065.1,7.10940305,0.418264767,0.228501111,1.830471484,0.067179467,NA,1.336319301
AC125068.1,0,NA,NA,NA,NA,NA,#VALUE!
AC125099.7,1.426203177,-0.042465218,0.084508564,-0.502496026,0.615318647,NA,0.970994334
AC125115.2,0.993801471,0.002615185,0.135899974,0.019243455,0.984646892,NA,1.001814352
AC125136.1,0.243943319,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC125166.1,0.119079174,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC125183.7,0,NA,NA,NA,NA,NA,#VALUE!
AC125212.2,11.14960994,0.029242485,0.197576664,0.148005762,0.882338221,NA,1.020476164
AC125214.1,0.230010408,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC125262.1,14.63474223,0.188826703,0.237018859,0.796673748,0.425640534,NA,1.139836347
AC125275.1,0.12847785,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC125319.1,0.308071913,-0.023945742,0.062583592,-0.382620133,0.70200144,NA,0.983539063
AC125319.2,0,NA,NA,NA,NA,NA,#VALUE!
AC125319.3,0.389485204,0.016958097,0.069828623,0.242853099,0.808119199,NA,1.011823813
AC125343.1,0.499769678,0.052687979,0.087369595,0.603047073,0.546477374,NA,1.037195591
AC125343.2,0.762732418,0.027476363,0.077652807,0.353836064,0.723461744,NA,1.01922768
AC125348.1,0.139761217,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC125349.1,0.639871057,0.053708942,0.063522774,0.845506871,0.397827898,NA,1.037929851
AC125349.2,0.99577481,0.103606665,0.117259668,0.883566072,0.376930501,NA,1.074456194
AC125349.3,0.261475213,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC125354.1,3.664818666,0.056148543,0.197298026,0.284587457,0.775960222,NA,1.039686478
AC125378.1,2.199498821,-0.019939436,0.162731639,-0.122529562,0.902479635,NA,0.986274107
AC125382.1,0,NA,NA,NA,NA,NA,#VALUE!
AC125458.2,11.21211644,0.146892757,0.235944283,0.622573921,0.533564553,NA,1.107182279
AC125459.1,6.148298664,0.259671526,0.174270629,1.490047562,0.13621173,NA,1.197206092
AC126042.1,2.1807398,0.127562868,0.168294299,0.757974978,0.448465962,NA,1.092446681
AC126255.1,0,NA,NA,NA,NA,NA,#VALUE!
AC126278.2,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC126410.3,0.12783109,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC126445.2,7.441605922,0.020429231,0.198861878,0.102730755,0.918176664,NA,1.014261198
AC126445.3,1.395174019,-0.022750496,0.149218933,-0.152463868,0.878821086,NA,0.984354245
AC126539.1,1.023235431,-0.062650601,0.136589864,-0.458676798,0.646466278,NA,0.957503323
AC126598.4,0.956823084,-0.017522234,0.080744214,-0.217009159,0.828201207,NA,0.987927972
AC126675.3,2.184590404,-0.038569481,0.163724746,-0.235575146,0.813762361,NA,0.973619872
AC126676.1,0.139761217,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC126800.1,0.110931234,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC127028.2,3.265756546,-0.078741262,0.190052666,-0.41431285,0.678645004,NA,0.946883434
AC127225.2,0.772868419,0.092392471,0.082344661,1.122021382,0.261853349,NA,1.066136728
AC127252.1,0.256955701,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC127252.4,0.738725627,0.004870547,0.107774691,0.045191933,0.963954324,NA,1.003381711
AC127252.5,2.759867354,-0.077961585,0.13201782,-0.590538346,0.554829786,NA,0.947395297
AC127257.1,0.538753303,0.025645703,0.06276447,0.408602243,0.682831584,NA,1.017935185
AC127266.4,1.36704011,0.081089084,0.109891318,0.737902555,0.460573666,NA,1.05781628
AC127283.3,0.630940239,0.083680412,0.078585707,1.064829914,0.286952905,NA,1.059718007
AC127297.4,0,NA,NA,NA,NA,NA,#VALUE!
AC127300.3,10.48214205,-0.190711127,0.233901475,-0.815348114,0.414873075,NA,0.876173735
AC127308.2,7.003205969,-0.228963023,0.222062249,-1.031075852,0.302505251,NA,0.853247967
AC127308.3,0.12847785,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC127308.6,0.487871915,-0.047365513,0.087625295,-0.540546116,0.588820467,NA,0.967701824
AC127339.5,1.13270243,0.130251819,0.108374733,1.201865181,0.229415766,NA,1.094484724
AC127347.2,0,NA,NA,NA,NA,NA,#VALUE!
AC127348.2,1.759517554,0.049245171,0.118322105,0.416195863,0.677266687,NA,1.034723407
AC127419.2,3.21394228,0.271378587,0.156449748,1.734605462,0.082810711,NA,1.206960605
AC127556.1,0.132997362,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC127556.10,2.12183846,0.043267092,0.150442093,0.287599645,0.773653216,NA,1.030444707
AC127556.5,2.773231766,0.109943537,0.183667523,0.598600857,0.549439084,NA,1.079185999
AC127594.2,4.834847406,0.009156692,0.210916837,0.043413757,0.965371712,NA,1.00636712
AC127677.1,3.684961466,0.195555971,0.202082955,0.967701464,0.333193487,NA,1.145165388
AC127677.2,0.238762324,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC127685.1,0.757089865,-0.043684022,0.095466115,-0.457586672,0.647249421,NA,0.970174374
AC128663.2,1.254776461,0.225070925,0.136760889,1.64572581,0.099820223,NA,1.168834709
AC128663.3,0.796762928,0.017690712,0.107499606,0.164565365,0.869286094,NA,1.012337757
AC129014.2,7.721812835,0.132880825,0.219412466,0.60562113,0.544766368,NA,1.096481009
AC129014.3,0,NA,NA,NA,NA,NA,#VALUE!
AC129015.1,2.546155939,0.343333831,0.172596054,1.989233374,0.04667545,NA,1.268684931
AC129078.1,0.516669534,0.072447432,0.074577377,0.971439792,0.331329321,NA,1.051498966
AC129174.1,0,NA,NA,NA,NA,NA,#VALUE!
AC129174.13,0,NA,NA,NA,NA,NA,#VALUE!
AC129174.14,0.571872579,-0.045137408,0.076298714,-0.59158805,0.554126478,NA,0.969197503
AC129174.4,0,NA,NA,NA,NA,NA,#VALUE!
AC129174.8,0,NA,NA,NA,NA,NA,#VALUE!
AC129174.9,0,NA,NA,NA,NA,NA,#VALUE!
AC129197.1,0,NA,NA,NA,NA,NA,#VALUE!
AC129197.2,0,NA,NA,NA,NA,NA,#VALUE!
AC129197.7,0.357841498,0.016345662,0.068584191,0.238329877,0.81162525,NA,1.011394376
AC129197.8,0,NA,NA,NA,NA,NA,#VALUE!
AC129215.2,0.49398901,-0.047219768,0.087495786,-0.539680474,0.589417408,NA,0.96779959
AC129334.1,0.474406398,-0.023485636,0.062599808,-0.375171054,0.707533256,NA,0.983852784
AC129553.4,2.148534282,0.103320916,0.139628011,0.739972699,0.45931656,NA,1.074243402
AC129599.1,0.744998013,-0.058746505,0.080677515,-0.728164539,0.46651287,NA,0.960097944
AC129603.1,4.735872826,0.029440049,0.20850966,0.141192733,0.887717687,NA,1.020615919
AC129603.2,1.832586851,-0.014606711,0.150896498,-0.096799537,0.922885592,NA,0.989926481
AC129603.3,0.491017762,0.051595914,0.087289254,0.591091248,0.554459284,NA,1.036410771
AC129606.2,0.230930937,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC129609.2,0.974808114,0.007977713,0.101105393,0.07890492,0.93710825,NA,1.005545046
AC129945.2,1.515982208,0.004998082,0.150935573,0.033114012,0.973583669,NA,1.003470415
AC130279.3,0.890716347,0.021349657,0.11174711,0.191053323,0.848483817,NA,1.014908494
AC130474.1,2.609374855,-0.300050324,0.147629438,-2.032455917,0.042107522,NA,0.812224064
AC130680.12,5.538962874,-0.425794181,0.192518252,-2.211708115,0.026986839,NA,0.744428822
AC130680.15,0.752615902,0.060783121,0.081069459,0.749765962,0.453395672,NA,1.043031784
AC130827.3,0.517316295,0.051206856,0.088083337,0.581345549,0.561007588,NA,1.036131315
AC130827.4,7.499757649,0.414007757,0.23141026,1.789063965,0.073604515,NA,1.332381989
AC130827.5,0,NA,NA,NA,NA,NA,#VALUE!
AC130841.3,6.029722448,-0.116732122,0.182713824,-0.638879529,0.522901306,NA,0.922274349
AC131116.4,0,NA,NA,NA,NA,NA,#VALUE!
AC131122.2,0.610536734,-0.018766486,0.091158989,-0.205865441,0.836896021,NA,0.987076301
AC131178.3,0.12847785,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC131592.3,0.139761217,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC131679.2,1.78275889,0.020759671,0.105298546,0.197150596,0.843709691,NA,1.014493535
AC131679.3,1.878438086,0.095592746,0.167540817,0.570563924,0.568295279,NA,1.068504324
AC131692.3,0.521656905,0.050855638,0.062699543,0.811100623,0.417307888,NA,1.035879104
AC131692.9,0.383057776,-0.014931878,0.069564893,-0.214646753,0.830042739,NA,0.989703387
AC131706.1,0.221862468,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC131746.2,0.379907626,0.048726158,0.069662563,0.699459743,0.484264763,NA,1.03435123
AC131752.4,0.790074873,0.054169293,0.109447153,0.494935604,0.620645577,NA,1.038261098
AC131773.1,0.400768571,0.017206244,0.07032599,0.244664091,0.806716534,NA,1.011997864
AC131773.2,0.238941226,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC131773.3,0.267771208,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC131777.1,1.240880217,-0.122812285,0.147955574,-0.830061902,0.406503786,NA,0.918395651
AC131791.1,12.147199,0.224401308,0.186526643,1.203052306,0.22895608,NA,1.168292328
AC131803.2,16.45810988,-0.299095723,0.233649579,-1.280103841,0.200508618,NA,0.812761673
AC131919.2,0.809110397,0.009554333,0.064514068,0.148096896,0.882266299,NA,1.006644537
AC131980.1,1.780408795,0.003674645,0.121621476,0.030213783,0.975896556,NA,1.002550316
AC132142.2,0.489633677,-0.03179975,0.072674508,-0.437564024,0.661702356,NA,0.978199241
AC132147.1,1.692786769,0.105665192,0.138987585,0.760249138,0.447105678,NA,1.075990389
AC132148.3,1.573720316,0.026511501,0.086799206,0.305434833,0.760034995,NA,1.018546257
AC132229.1,0,NA,NA,NA,NA,NA,#VALUE!
AC132229.2,0,NA,NA,NA,NA,NA,#VALUE!
AC132271.2,0.388224048,-0.015034344,0.069797778,-0.215398607,0.829456556,NA,0.989633097
AC132327.8,2.987402883,-0.233894816,0.187163673,-1.249680626,0.211416237,NA,0.850336154
AC132338.1,0,NA,NA,NA,NA,NA,#VALUE!
AC132432.1,0.12783109,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC132448.1,2.178965769,0.110277866,0.155031932,0.71132356,0.476883755,NA,1.079436118
AC132462.4,0,NA,NA,NA,NA,NA,#VALUE!
AC132567.2,2.628866922,0.220595029,0.140064372,1.57495462,0.11526692,NA,1.165214071
AC132584.3,0.139761217,-0.011992916,0.062482041,-0.191941802,0.847787793,NA,0.991721601
AC132685.1,6.986843748,0.211186407,0.230461367,0.916363598,0.359476221,NA,1.157639783
AC132837.2,2.013581225,0.094862421,0.176175993,0.538452599,0.590264621,NA,1.06796356
AC132939.2,0.268239067,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC132939.5,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.1,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.10,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.11,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.12,0.256955701,-0.024747009,0.062482041,-0.396065948,0.692056378,NA,0.982992961
AC133094.13,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.14,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.2,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.4,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.5,0,NA,NA,NA,NA,NA,#VALUE!
AC133094.6,0.874689934,0.145643548,0.118310171,1.231031504,0.218311082,NA,1.106224
AC133094.9,0,NA,NA,NA,NA,NA,#VALUE!
AC133096.2,2.093319354,0.035267293,0.1542863,0.228583437,0.819192699,NA,1.024746664
AC133097.2,2.994441285,-0.031093779,0.177897048,-0.174785244,0.861248384,NA,0.978678032
AC133161.1,0,NA,NA,NA,NA,NA,#VALUE!
AC133187.4,0,NA,NA,NA,NA,NA,#VALUE!
AC133190.1,1.347850363,-0.023345992,0.149849675,-0.155796077,0.876193763,NA,0.98394802
AC133195.2,0,NA,NA,NA,NA,NA,#VALUE!
AC133210.1,0.387318241,-0.014826325,0.069324095,-0.213869728,0.830648648,NA,0.9897758
AC133499.1,2.289186588,0.025563698,0.124120979,0.205957915,0.836823786,NA,1.017877325
AC133502.2,0,NA,NA,NA,NA,NA,#VALUE!
AC133514.1,0.128009992,0.013515271,0.062482041,0.216306488,0.828748852,NA,1.00941209
AC133523.2,1.562589945,-0.165494567,0.118080045,-1.401545592,0.161050984,NA,0.891622812
AC133523.6,0.640448972,0.010570321,0.063590443,0.166224987,0.867979896,NA,1.007353695
AC133581.1,0,NA,NA,NA,NA,NA,#VALUE!
AC133581.2,0.256487842,0.000761178,0.062482041,0.012182343,0.990280137,NA,1.000527747
AC133601.2,0,NA,NA,NA,NA,NA,#VALUE!
AC133646.2,1.222242209,-0.031464118,0.118666105,-0.265148317,0.790895208,NA,0.978426838
AC133896.3,0,NA,NA,NA,NA,NA,#VALUE!
AC133897.1,3.440613222,0.254459702,0.19224463,1.323624502,0.185627784,NA,1.192888916
AC133902.3,9.898144404,0.029007981,0.234478038,0.123712998,0.90154252,NA,1.020310304
AC133935.1,1.509038987,0.043623983,0.126505226,0.344839376,0.730215129,NA,1.030699647
AC133935.2,1.207653651,-0.102050952,0.136454306,-0.747876376,0.454534728,NA,0.931707524
AC133938.1,0,NA,NA,NA,NA,NA,#VALUE!
AC133954.1,2.61375882,-0.064232931,0.183192035,-0.350631678,0.725864688,NA,0.956453721
AC134327.1,0,NA,NA,NA,NA,NA,#VALUE!
AC134339.2,1.761173876,0.238495995,0.164292232,1.451657158,0.146596957,NA,1.179762122
AC134339.3,1.091418494,-0.087868838,0.139856154,-0.628280098,0.529820467,NA,0.940911646
AC134411.2,6.798696779,0.174788674,0.212955603,0.820775184,0.411774336,NA,1.128799047
AC134411.3,1.022193505,-0.026679822,0.083020456,-0.32136444,0.747934228,NA,0.981676903
AC134523.2,0,NA,NA,NA,NA,NA,#VALUE!
AC134533.1,0,NA,NA,NA,NA,NA,#VALUE!
AC134533.3,0,NA,NA,NA,NA,NA,#VALUE!
AC134533.6,0,NA,NA,NA,NA,NA,#VALUE!
AC134533.7,0,NA,NA,NA,NA,NA,#VALUE!
AC134545.2,1.391939523,-0.182047121,0.140137684,-1.29905901,0.193923679,NA,0.881451367
AC134551.1,0.513551748,0.034301068,0.073286993,0.468037602,0.6397577,NA,1.024060584
AC134570.1,1.873655055,0.062503825,0.160893406,0.388479715,0.697661062,NA,1.044276551
