GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
Vstm5,327.0784917,-0.397255766,0.108372923,-3.665636732,0.000246724,0.013262692,0.759301221
Rgs3,1191.858859,-0.413135999,0.112841163,-3.661217115,0.00025102,0.013437864,0.750989166
Hist1h4n,56.81550342,0.80262808,0.219516007,3.656353314,0.000255829,0.013638933,1.744275687
Mapk4,251.610391,-0.490664129,0.134340356,-3.652395615,0.000259805,0.013794166,0.7116974
RP23-83N17.1,205.0673504,0.759935378,0.208210606,3.649839908,0.000262404,0.01387527,1.69341477
Agfg1,972.4287855,-0.243888256,0.066865481,-3.647446396,0.00026486,0.013909745,0.844466293
Nrxn2,1852.074297,-0.481547914,0.132072979,-3.646074441,0.000266277,0.013909745,0.716208768
Prdm8,95.81062354,-0.604004802,0.165612656,-3.647093257,0.000265224,0.013909745,0.657925073
B4galt5,880.0175149,-0.387479886,0.106355404,-3.643255268,0.000269212,0.014006572,0.764463812
Mrgprx1,112.9195797,-0.707330744,0.194243419,-3.641465673,0.00027109,0.014047898,0.612452242
Sox4,150.3686374,-0.474997236,0.130485886,-3.640219276,0.000272406,0.014059837,0.719468168
Fam171b,987.5071347,-0.442602081,0.121862106,-3.631991071,0.000281243,0.014308003,0.735806293
Gnb4,648.6135227,-0.50628313,0.139329321,-3.633715617,0.000279369,0.014308003,0.704033933
Klhl5,601.4747628,-0.528592124,0.145532649,-3.632120546,0.000281102,0.014308003,0.693230904
Shc1,1275.378176,-0.366232237,0.100845017,-3.631634446,0.000281632,0.014308003,0.775805959
Txn1,1442.292732,-0.286406406,0.078963724,-3.627063064,0.000286663,0.014506731,0.819941902
Pcbp3,1952.207531,-0.264376666,0.073179511,-3.612714278,0.000303009,0.015274224,0.832558374
Galnt1,321.2966547,0.442414675,0.122540109,3.610366259,0.000305765,0.015316546,1.358876811
Grik2,150.9763782,0.721403127,0.19987953,3.609189635,0.000307155,0.015316546,1.64878482
Pou4f1,1365.805264,-0.26789824,0.074251362,-3.607990935,0.000308577,0.015316546,0.830528603
Syt5,330.3615036,-0.548306643,0.151965899,-3.608090015,0.000308459,0.015316546,0.683822291
Arhgef28,313.5562603,-0.801077866,0.222243799,-3.604500415,0.000312754,0.015405808,0.57392023
Dpp6,2317.585862,-0.312572446,0.086715435,-3.604576783,0.000312662,0.015405808,0.805204731
Wipf3,993.40225,-0.39038539,0.108353574,-3.602884302,0.000314706,0.015443225,0.762925775
Esyt1,2353.501398,-0.210825412,0.058601907,-3.597586215,0.000321184,0.015672021,0.864042744
Yipf2,85.56028645,0.660355404,0.183580054,3.597097783,0.000321788,0.015672021,1.58047192
Celf6,331.0863755,-0.507979002,0.141445834,-3.591332357,0.000328992,0.015962878,0.703206835
Ptgdr,245.6352663,-0.566772113,0.157884989,-3.589778341,0.000330959,0.015998423,0.675125626
Dip2c,1472.337757,-0.301739753,0.084168058,-3.584967519,0.00033712,0.016235657,0.811273487
Arfgef3,3139.115817,-0.301050988,0.084040514,-3.582212586,0.000340696,0.016286795,0.811660894
Mrto4,56.0655535,0.728409432,0.203321111,3.582556809,0.000340248,0.016286795,1.656811454
Man2c1,520.3291688,0.320374109,0.089665024,3.573010932,0.0003529,0.016808161,1.248654299
Slc9a3,48.10295268,0.818511444,0.229159145,3.571803534,0.000354531,0.016824005,1.763585407
Kcnj11,62.73797157,-0.811408107,0.227434515,-3.567655981,0.000360189,0.016968175,0.569825423
Syt11,9328.29672,-0.236015036,0.06614234,-3.568289768,0.000359319,0.016968175,0.849087397
