Rps13-ps2,600.4452668,-7.831061081,0.31949894,-24.51044466,1.14E-132,2.16E-128
Gm10600,830.3065164,7.55701994,0.315099523,23.9829622,4.19E-127,3.96E-123
RP23-103I12.4,389.2337885,6.201713943,0.344399133,18.00734483,1.71E-72,1.07E-68
Mup1,174.2274675,-5.396775839,0.355811426,-15.16751697,5.80E-52,2.74E-48
Hbb-bs,201291.5213,4.239187441,0.285641833,14.84091948,7.97E-50,3.01E-46
Rps7,11773.05433,-3.031859895,0.211927656,-14.30610784,2.00E-46,6.31E-43
Eif4ebp3,122.2440182,5.078420668,0.362634098,14.00425578,1.47E-44,3.96E-41
RP23-388P16.8,583.5609125,3.804699039,0.290452803,13.09919888,3.33E-39,7.86E-36
Prdm8,1350.296381,2.395071388,0.183357863,13.06227803,5.41E-39,1.14E-35
Rn7sk,484.6239466,-2.688818004,0.221816104,-12.12183407,8.09E-34,1.53E-30
4-Mar,456.9659099,2.53858909,0.212593947,11.94102243,7.23E-33,1.20E-29
Vmn2r97,170.8061142,2.91259391,0.24400922,11.93640927,7.65E-33,1.20E-29
Ccl21b,148.1115742,4.398811764,0.37961227,11.58764378,4.76E-31,6.92E-28
AC123679.2,177.7541465,3.4140545,0.295510819,11.55306092,7.12E-31,9.61E-28
Nrbp2,2006.457788,2.317345285,0.202005838,11.47167483,1.83E-30,2.31E-27
Gm3893,95.8727957,4.11356239,0.360170588,11.42115021,3.28E-30,3.87E-27
RP23-304I1.7,70.74922388,4.252288952,0.375906166,11.31210215,1.14E-29,1.27E-26
Hbb-bt,93448.53635,3.247547994,0.295870746,10.97623892,4.97E-28,5.22E-25
RP24-383F22.5,46.47576191,-4.24352747,0.391699339,-10.83363449,2.38E-27,2.37E-24
Prdm12,7983.096999,1.42182376,0.132481433,10.73224922,7.18E-27,6.78E-24
RP23-388P16.2,99.62495639,3.828198265,0.369084008,10.37215967,3.32E-25,2.99E-22
Ngfr,16851.50709,1.187960501,0.118697107,10.00833579,1.40E-23,1.20E-20
RP23-392C8.4,7492.560658,4.053061505,0.409804719,9.890226532,4.59E-23,3.77E-20
RP24-263E2.3,569.2791268,1.996362119,0.203324872,9.818582922,9.37E-23,7.37E-20
Hba-a2,283740.7837,2.930031465,0.2988916,9.80299033,1.09E-22,8.26E-20
RP23-204N19.8,906.4740017,1.675638517,0.172174379,9.732217553,2.20E-22,1.60E-19
Igfbpl1,1015.248036,-2.408222011,0.261876567,-9.196019473,3.71E-20,2.60E-17
Plac9b,303.5369047,2.000284342,0.219116822,9.12884884,6.92E-20,4.67E-17
Hba-a1,257126.5969,2.781695682,0.306004847,9.090364778,9.87E-20,6.43E-17
Chd5,1615.210294,1.780687863,0.198720796,8.96075248,3.22E-19,2.03E-16
Galnt6,40.03863468,3.539587286,0.398878882,8.87383976,7.07E-19,4.31E-16
Ogn,336.866075,2.073617322,0.234128496,8.856748977,8.24E-19,4.86E-16
Wdr66,669.7061998,-2.742175385,0.313167912,-8.756246354,2.02E-18,1.16E-15
Tmem184b,443.7501156,-2.302376846,0.263659598,-8.732383952,2.49E-18,1.39E-15
Fbln5,503.9971758,1.901539258,0.218559074,8.700344603,3.31E-18,1.79E-15
Malat1,12654.79088,-2.255033817,0.260891339,-8.643574837,5.45E-18,2.86E-15
Cryz,94.75453344,-2.590463754,0.300096478,-8.632103161,6.02E-18,3.08E-15
Neat1,349.3006702,1.709292933,0.198233564,8.622621213,6.54E-18,3.25E-15
Fbln1,3011.786817,-1.336152306,0.156322727,-8.547396371,1.26E-17,6.10E-15
Plekha4,1902.391267,1.192673633,0.140268635,8.502782062,1.85E-17,8.74E-15
Hpca,1177.778406,1.466175387,0.174426309,8.405700925,4.25E-17,1.96E-14
Col9a3,1157.687531,1.299044709,0.156030266,8.325594407,8.39E-17,3.77E-14
RP23-182J19.2,207.309245,1.918438148,0.231710868,8.279448286,1.24E-16,5.44E-14
Fam213a,369.6019365,1.463785992,0.17804347,8.221509008,2.01E-16,8.63E-14
RP23-191F22.11,590.4362103,-1.427226027,0.173857588,-8.209167314,2.23E-16,9.33E-14
Scn7a,1590.894425,1.116710941,0.136072107,8.206758668,2.27E-16,9.33E-14
Insrr,1939.518789,1.714994486,0.210726751,8.138475435,4.00E-16,1.61E-13
Pirt,8391.284096,1.151774232,0.141866291,8.118730809,4.71E-16,1.85E-13
Piezo2,1535.968998,1.258191847,0.156234212,8.053241559,8.06E-16,3.11E-13
Camk2a,475.5537518,1.57309797,0.197696108,7.957151927,1.76E-15,6.65E-13
Irx1,329.5509122,-1.990057619,0.250437847,-7.946313386,1.92E-15,7.12E-13
Tmem254a,511.7381019,1.674341571,0.211114635,7.930959267,2.17E-15,7.90E-13
Gypa,286.0752808,2.674546856,0.340321682,7.858878808,3.88E-15,1.38E-12
Entpd2,1018.370403,2.039243424,0.261195164,7.807355221,5.84E-15,2.04E-12
Fgf13,7035.354594,1.013946497,0.130137273,7.791361188,6.63E-15,2.24E-12
Igf2bp1,2311.881283,-1.096792752,0.140774323,-7.7911421,6.64E-15,2.24E-12
Gng8,1200.425128,1.18480914,0.153039445,7.741854634,9.80E-15,3.25E-12
Tusc5,257.2765066,2.03714668,0.264395121,7.704932963,1.31E-14,4.26E-12
RP24-538B17.1,250.3716205,1.532373767,0.200484321,7.64335963,2.12E-14,6.78E-12
Pdlim4,1488.022995,-1.621006906,0.212409538,-7.631516554,2.32E-14,7.30E-12
Csf2ra,1681.330602,1.314116475,0.172632781,7.612207071,2.69E-14,8.34E-12
