GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Porcn,284.5280009,0.517327044,0.169936762,3.044232686,0.002332746,0.103980745,
Rnf41,908.3023612,-0.386530737,0.126969694,-3.044275568,0.002332414,0.103980745,
Elfn1,988.1969519,-0.341901774,0.112629069,-3.03564415,0.002400225,0.106384148,
Lpar3,1161.023283,-0.374464183,0.123414548,-3.034198057,0.00241176,0.106608862,
Tomm6,4540.349885,0.258077965,0.085309613,3.025192083,0.002484753,0.109541717,
Rps21,8083.115013,0.235024649,0.077739841,3.023220109,0.002501003,0.109964083,
Anapc2,20.8672415,-0.529123923,0.175112771,-3.02161813,0.002514275,0.11025364,
Adar,711.3897781,-0.398591659,0.131949842,-3.020781627,0.002521231,0.110265412,
Atp5g3,13539.34232,0.228345046,0.075700315,3.016434563,0.002557664,0.111268514,
Phldb1,2814.135836,0.320504504,0.106242861,3.016715656,0.002555294,0.111268514,
Ccs,871.7527837,0.322506414,0.106960198,3.015200238,0.002568097,0.111428356,
Aldoc,7099.773605,0.226606886,0.075227072,3.012305027,0.002592719,0.11161555,
Arhgef25,3399.85567,-0.288837509,0.095849491,-3.013448548,0.002582968,0.11161555,
Slc6a20b,53.0789397,0.565740917,0.187778363,3.012812065,0.002588392,0.11161555,
Crls1,81.24434567,-0.566583227,0.188158227,-3.011206243,0.00260212,0.111728547,
Eif2b5,721.3730241,0.428121924,0.142288817,3.008823403,0.002622615,0.112025072,
Unk,358.2986278,0.552625823,0.183667352,3.00884081,0.002622465,0.112025072,
Msi2,1108.790867,-0.294372774,0.097988079,-3.004169253,0.002663071,0.113459225,
Anapc11,4994.105746,0.265367698,0.08835798,3.003324646,0.002670474,0.113481377,
AC152164.1,321.7738822,-0.53070571,0.176812625,-3.001514793,0.0026864,0.113864681,
Olfr243,57.82942113,-0.561977617,0.18740904,-2.998668681,0.00271162,0.114638953,
Cacybp,23.67914045,-0.407992405,0.136267734,-2.994049975,0.002753008,0.115794908,
Itsn1,511.2395769,-0.365148743,0.12193231,-2.994684039,0.002747293,0.115794908,
Mospd3,1258.421995,0.405470138,0.135605135,2.99007953,0.002789048,0.116430832,
Nedd8,5820.934857,0.211274485,0.070659167,2.990050623,0.002789312,0.116430832,
Nrep,3082.563207,0.435843268,0.145725441,2.990852283,0.002782,0.116430832,
Ttc39b,589.8247803,-0.382298753,0.127921173,-2.988549459,0.002803051,0.116708863,
Rgs7bp,6304.091548,-0.296860022,0.099423697,-2.98580753,0.002828306,0.117463749,
Rpl41,23148.44162,0.233187694,0.078167702,2.983171928,0.002852777,0.118182377,
Cst3,13044.56317,0.232313411,0.077934495,2.980880426,0.00287421,0.118768125,
Jph4,187.6025428,-0.560624773,0.188121328,-2.98012341,0.002881323,0.118768125,
Vps53,972.2364108,0.417668021,0.140348175,2.975941936,0.002920902,0.120099316,
C1ql1,100.4843192,0.562230033,0.189374807,2.968874495,0.002988926,0.122590596,
Ndufa7,3096.385541,0.237657844,0.080091365,2.967334162,0.003003943,0.122596559,
Rpl26,103.2845331,0.523721621,0.176467533,2.967807237,0.002999324,0.122596559,
Socs7,1266.540809,-0.422438804,0.142404078,-2.966479685,0.003012303,0.122634186,
H1fx,2354.408104,0.400609732,0.135192128,2.963262275,0.003043971,0.123618205,
RP23-131F7.5,392.9418734,0.534460798,0.180453113,2.961771006,0.003058752,0.123913267,
Zbtb16,60.56536626,-0.517484742,0.17482694,-2.959982842,0.003076562,0.12432929,
Aqp1,10987.28761,-0.205079191,0.069303184,-2.959159719,0.003084792,0.124357081,
Hmbs,100.3154805,-0.55974761,0.189269006,-2.957418234,0.00310227,0.124756659,
Nenf,2699.216652,0.290279389,0.098289324,2.953315545,0.003143804,0.126119331,
Wdr75,264.2460575,0.532277642,0.180429628,2.95005674,0.003177156,0.127147923,
Pcdhga1,36.61101695,-0.548188661,0.185927103,-2.948406409,0.003194168,0.127519246,
RP23-337F12.2,21.0004868,0.463549569,0.157537205,2.942476788,0.003255982,0.12967302,
Mzt2,105.831148,0.536254082,0.182565114,2.937330525,0.003310511,0.13089616,
Ptgfr,617.0633399,-0.396101192,0.134788163,-2.938694199,0.003295981,0.13089616,
Tnpo2,1616.194372,-0.464400359,0.158099689,-2.93738946,0.003309881,0.13089616,
Chrna3,248.1201989,-0.55121024,0.187723523,-2.936287522,0.003321663,0.131022913,
Rn7sk,33.26249781,0.546592662,0.186301723,2.933910932,0.003347202,0.131715212,
Ddit4,3516.465872,-0.407524838,0.13902824,-2.931237849,0.003376142,0.132537681,
Ndufa13,3872.021307,0.23138281,0.078978953,2.929676841,0.003393147,0.132888846,
Pcdhga11,70.93740415,-0.545203899,0.186170946,-2.928512271,0.003405884,0.133071596,
Kifc3,395.0282228,0.485307437,0.165945246,2.924503402,0.003450063,0.134479055,
Ddx5,1188.402797,-0.433137968,0.148489576,-2.916958751,0.003534625,0.136887615,
Trmu,186.048092,0.465089717,0.159453667,2.916770277,0.003536762,0.136887615,
Yif1b,2534.387244,0.296349301,0.101552221,2.91819616,0.003520628,0.136887615,
D2Wsu81e,873.5319535,-0.276832127,0.094952443,-2.915481873,0.003551397,0.137132178,
Capn1,6144.797256,-0.220566338,0.075700032,-2.913688818,0.003571858,0.137279226,
RP24-230J14.5,908.6408819,-0.377345298,0.129501405,-2.913831682,0.003570223,0.137279226,
Nnat,4188.208758,0.417239365,0.143261001,2.912442058,0.003586147,0.137507897,
Ndrg4,20984.04679,0.393727936,0.135374764,2.908429348,0.003632492,0.138961799,
Drap1,1211.97695,0.364912918,0.125516842,2.907282497,0.003645838,0.139149478,
Bnc2,121.8248512,-0.490718617,0.169153901,-2.901018619,0.003719518,0.13957526,
Dnajc30,828.8149716,0.312829044,0.107824003,2.901293185,0.00371626,0.13957526,
Elf2,208.4970284,0.546337413,0.188251966,2.902160467,0.003705987,0.13957526,
RP23-349I9.6,173.6327777,-0.541312731,0.186526656,-2.90206635,0.0037071,0.13957526,
RP23-89A16.3,293.9655099,0.413464141,0.142450244,2.902516204,0.00370178,0.13957526,
Rtn3,125.2006529,-0.529017367,0.182258689,-2.902563225,0.003701224,0.13957526,
Thsd7a,547.0907634,-0.451283464,0.155583818,-2.900580981,0.003724716,0.13957526,
Tln2,394.0615788,0.362460306,0.124940088,2.901072916,0.003718873,0.13957526,
Trim46,221.7832703,-0.48970614,0.168903824,-2.899319432,0.003739737,0.139820364,
Cuedc2,10155.31088,0.365141915,0.125999785,2.897956641,0.003756025,0.140111634,
Rpl22,2376.955033,0.24506199,0.084712053,2.892882194,0.003817244,0.142073874,
Blzf1,228.5798475,-0.520963849,0.18041734,-2.887548667,0.003882565,0.143855591,
Fer1l5,175.490512,-0.454985447,0.157535012,-2.888154466,0.003875095,0.143855591,
Dnmt3a,2131.067809,0.434636286,0.150732154,2.883500794,0.003932817,0.145390761,
Lmna,2934.444203,0.291144966,0.101010805,2.882315077,0.003947648,0.145435837,
Prdx2,4281.509688,0.272445512,0.094533697,2.881993625,0.003951677,0.145435837,
Inpp5j,538.0773035,0.397420359,0.137962289,2.88064487,0.003968625,0.145734282,
Plac9b,905.4290438,0.48708434,0.169256998,2.877779616,0.004004848,0.146737636,
Fam196b,112.0364143,-0.486917391,0.169281556,-2.876375922,0.004022703,0.147065032,
Cuta,2334.735686,0.247630674,0.086351109,2.867718525,0.004134432,0.150764839,
Iqgap3,201.3601377,0.446988246,0.155901202,2.867125083,0.004142193,0.150764839,
