GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
1600012H06Rik,661.1645801,0.753551284,0.154849244,4.866354286,1.14E-06,3.16E-05
Jak1,9076.700973,1.433158544,0.294548507,4.865611305,1.14E-06,3.16E-05
Srsf7,1545.184101,0.513565985,0.105551145,4.865565283,1.14E-06,3.16E-05
Adora1,372.9337134,1.385226053,0.284787699,4.864065608,1.15E-06,3.18E-05
Atp6v0a1,15277.71201,-0.527780424,0.10850255,-4.864221386,1.15E-06,3.18E-05
Sema3c,1922.261662,-0.553129818,0.113748094,-4.862761216,1.16E-06,3.19E-05
Nrsn1,1695.305672,0.598369078,0.123060601,4.862393582,1.16E-06,3.19E-05
A330074K22Rik,81.48193844,-1.321788278,0.271891801,-4.861449569,1.17E-06,3.20E-05
Shmt2,2570.871671,-0.723070709,0.148902529,-4.856000205,1.20E-06,3.28E-05
Kcna2,4798.753301,-0.703562614,0.144910648,-4.855147793,1.20E-06,3.29E-05
Epn3,210.743093,1.073940867,0.221311762,4.852615412,1.22E-06,3.33E-05
Slc35e1,2219.989468,-0.461139018,0.095040019,-4.852050964,1.22E-06,3.33E-05
Adcy2,1442.85411,0.438843719,0.090461152,4.851184282,1.23E-06,3.34E-05
Sirpa,921.0779295,-0.913109091,0.188216217,-4.85138372,1.23E-06,3.34E-05
Serpinb1b,486.2399299,1.036739094,0.213789554,4.849344012,1.24E-06,3.36E-05
Ifit1,222.1367427,1.335470077,0.275486769,4.847674109,1.25E-06,3.38E-05
Rnh1,1285.959471,0.629737156,0.12991593,4.847266668,1.25E-06,3.39E-05
Kcnh2,1759.655343,-1.035430322,0.213643283,-4.84653814,1.26E-06,3.39E-05
9330102E08Rik,729.3617819,-0.496240904,0.10242987,-4.844689373,1.27E-06,3.41E-05
Nat10,640.1790425,-0.467979623,0.09660369,-4.844324497,1.27E-06,3.41E-05
Neto1,660.8360705,-0.572011239,0.118073418,-4.844538681,1.27E-06,3.41E-05
Cyp4f14,63.98557439,-1.18907345,0.24557378,-4.842021198,1.29E-06,3.45E-05
Cacng3,191.6824143,-0.840443044,0.17369666,-4.838567668,1.31E-06,3.50E-05
Atrnl1,10002.94026,-0.618917662,0.127988433,-4.835731208,1.33E-06,3.55E-05
Rgs7bp,5983.450254,-0.607876174,0.125738247,-4.834457203,1.34E-06,3.56E-05
Fstl1,44584.763,0.803160405,0.166155571,4.83378559,1.34E-06,3.57E-05
Tenm2,1339.983725,-0.938994144,0.194358292,-4.831253331,1.36E-06,3.61E-05
Cep162,243.2210207,-1.037099769,0.214764586,-4.829007377,1.37E-06,3.64E-05
Siae,405.9452284,-0.567663257,0.117572264,-4.828207258,1.38E-06,3.65E-05
H3f3a,1961.191388,0.6594452,0.136659775,4.825452119,1.40E-06,3.70E-05
2410131K14Rik,899.7405474,-0.64406143,0.133498354,-4.824489681,1.40E-06,3.70E-05
Kcnk13,107.703003,1.574849094,0.326425417,4.824529628,1.40E-06,3.70E-05
Abcg4,1711.473396,-0.602384408,0.124933842,-4.821627185,1.42E-06,3.74E-05
