,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
RP23-330D3.11,0,3.08346841,3.694894998,4.472358936,3.067946167,7.447852279,6.144479602,0.952633389
RP23-330D3.2,8.874498737,10.27822803,0,35.77887149,22.49827189,27.66345132,0,0
RP23-330D3.3,224.1507992,195.3877552,246.179798,207.6320957,313.8636294,229.5391057,332.4766561,233.0390793
RP23-330D3.4,0,0,0,0,0,1.063978897,1.024079934,0.952633389
RP23-330D3.5,12.38190861,2.969331011,10.67437526,1.285206939,3.161651918,2.049189494,1.97234536,9.383630718
RP23-330D3.6,62.8328272,115.5574043,87.53936771,61.86169541,61.16275678,100.0398949,33.42469883,151.4100563
RP23-330D3.7,0,3.08346841,2.771171249,0,1.022648722,4.255915588,0,1.905266777
RP23-330D3.8,2.662349621,0,2.771171249,5.59044867,2.045297444,0,3.072239801,0
RP23-330D3.9,25.3547917,28.47544385,21.59275958,43.48390595,46.27808669,59.26313818,58.62960293,29.6913931
RP23-330I2.1,0,0,0,0,0,0,0,0
RP23-330J17.1,0,1.027822803,0,0,2.045297444,0,3.072239801,0
RP23-330J17.2,0,0,0.92372375,0,0,0,0,0
RP23-330J17.3,2.662349621,0,0,0,2.045297444,2.127957794,0,0
RP23-330N10.5,1.774899747,0,0.92372375,1.118089734,1.022648722,3.191936691,1.024079934,1.905266777
RP23-330N10.7,6.212149116,2.055645606,0.92372375,1.118089734,1.022648722,4.255915588,4.096319735,5.715800332
RP23-330O16.2,3.549799495,7.194759622,4.618618748,10.06280761,4.090594889,6.383873382,6.144479602,5.715800332
RP23-330O16.3,1.175183585,23.04594214,3.669655107,3.701506813,2.031325983,13.82468748,24.36376888,2.52300249
RP23-330O8.1,0,0,0,0,0,0,0,0
RP23-330O8.2,0,0,0,0,0,0,0,0
RP23-331A21.2,334.307403,218.7334061,273.7590733,280.4248841,370.3919439,263.439857,237.8966318,276.482518
RP23-331A21.5,0,1.027822803,0.92372375,0,0,2.127957794,0,0
RP23-331A21.6,0.887449874,0,0,1.118089734,0,0,0,0
RP23-331B22.3,0,0,0,0,1.022648722,0,0,0
RP23-331C1.1,0,0,0.92372375,0,0,0,0,0
RP23-331C24.1,0,0,0,0,0,0,0,0
RP23-331D17.4,4.168356722,7.960327939,3.470988246,9.453012044,4.803386424,10.99453184,9.620217664,5.369428841
RP23-331D17.5,0,1.027822803,0,0,0,0,1.024079934,0
RP23-331D18.1,0,0,0,0,0,0,0,0
RP23-331D7.2,0,0,0,0,0,0,0,0
RP23-331E12.12,0,0,2.771171249,0,0,0,0,0
RP23-331E12.13,0,10.27822803,0,0,8.181189778,12.76774676,25.60199834,39.05796893
RP23-331E12.2,0,0,0,0,0,0,0,0.952633389
RP23-331E12.3,0,0,0,0,1.022648722,0,0,0
RP23-331E12.5,55.90934205,31.8625069,53.57597748,48.07785856,54.20038228,34.04732471,48.13175688,62.87380365
RP23-331E12.9,9.761948611,12.33387364,4.618618748,5.59044867,6.135892333,4.255915588,16.38527894,9.526333886
RP23-331E4.1,0,0,0.92372375,0,0,0,1.024079934,0
RP23-331E4.2,0,0,0,0,0,0,0,0
RP23-331E4.3,0,0,0,0,0,0,0,0
RP23-331E5.10,15.97409773,13.36169644,13.85585624,14.53516654,17.38502828,24.47151463,16.38527894,19.05266777
RP23-331E5.11,0,0,0,0,0,0,0,0
RP23-331E5.5,171.2778256,106.8935715,157.9567612,116.2813323,110.446062,129.8054254,131.0822315,119.0791736
RP23-331E5.6,620.5545096,445.699025,677.8104865,620.5195882,508.2918474,538.3750305,457.6509781,549.7025512
RP23-331E5.8,7.941210444,4.87499182,7.27709572,5.50113517,6.467268016,10.2419958,13.38700267,6.024488479
RP23-331E5.9,0.887449874,1.027822803,0.92372375,0,4.090594889,1.063978897,0,1.905266777
RP23-331I13.1,0,0,0,0,0,0,0,0
RP23-331I13.2,0,0,0,0,0,0,0,0
RP23-331I21.10,0,0,0,0,0,0,0,0
RP23-331I21.11,0,0,0,0,0,0,0,0
RP23-331I21.12,0,0,0,0,0,0,0,0
RP23-331I21.14,0,0,0,0,0,0,0,0
RP23-331I21.15,0,0,0,0,0,0,1.024079934,0
RP23-331I21.16,0,0,0,0,0,0,0,0
RP23-331I21.2,0,0,0,0,0,1.063978897,0,0
RP23-331I21.3,0,0,0,0,0,0,0,0
RP23-331I21.4,0,0,0,1.118089734,1.022648722,0,0,0
RP23-331I21.5,0,0,0,0,0,0,0,0
RP23-331I21.6,0,0,0,0,0,0,0,0
RP23-331I21.7,0,0,0,0,0,0,0,0
RP23-331I21.8,0,0,0,0,0,0,1.024079934,0
RP23-331I21.9,0,0,0,0,0,0,1.024079934,0
