,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
-343C11.2,15.08664785,11.30605083,6.466066247,7.826628138,3.067946167,15.95968346,24.57791841,9.526333886
00R_AC107638.2,0,2.055645606,1.847447499,0,1.022648722,3.191936691,1.024079934,0.952633389
00R_Pgap2,0,5.139114016,14.77957999,0,8.181189778,13.83172566,0,0
0610009O20Rik,274.222011,260.0391692,264.1849924,266.1053567,298.6134269,285.1463444,234.5143048,310.5584847
1-Mar,5.476492241,12.80882617,8.764020609,7.015223116,14.53779902,15.1017473,6.655043303,3.359281475
1-Sep,7.155696809,12.6922841,5.095932108,4.105696352,3.715902978,41.26818974,17.27036461,4.280658857
10-Mar,2.024156831,2.625167502,0,5.030555114,1.935533467,4.551082495,6.049449076,2.626535752
10-Sep,55.59509461,62.02283489,49.55161659,51.84219378,70.2445838,66.67342426,81.35371207,58.66506509
11-Mar,90.45911262,91.64699121,94.76729427,87.38133562,69.83262544,60.47138672,65.4371471,59.00195142
11-Sep,364.1859152,259.0031872,361.3267064,312.8738723,329.811626,246.8158892,286.263208,319.5217299
1110020A21Rik,3.549799495,2.055645606,0.92372375,0,3.067946167,1.063978897,2.048159867,1.905266777
1110036E04Rik,0,0,0,0,0,0,0,0
12-Sep,0,0,0,0,0,0,0,0
14-Sep,0,0,1.847447499,0,1.022648722,0,0,0
15-Sep,668.8145532,683.6099751,749.1624744,647.7810857,660.0929823,660.5581581,714.865056,789.5262707
1600014C23Rik,0,0,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,1.022648722,0,0,0
1700015F17Rik,3.522364043,0,3.666338142,0,0.393069488,0.235366298,0.393619595,3.700649992
1700018M17Rik,0,0,0,0,0,0,0,0
1700022N22Rik,2.662349621,2.055645606,1.847447499,5.59044867,7.158541056,9.575810074,1.024079934,3.810533554
1700024J04Rik,0.887449874,0,0.92372375,0,2.045297444,4.255915588,0,0
1700028P14Rik,0,0,0,0,0,0,0,0
1700037F24Rik,0,1.027822803,0,1.118089734,1.022648722,0,0,0
1700067P10Rik,0,0,0,0,0,0,0,0
1700086O06Rik,26.23518314,16.11511144,19.0809768,16.1671398,19.0779557,15.02486752,18.65731486,15.16129286
1700123K08Rik,0.628381586,0,0,0.791692039,0,1.101743753,1.972545538,0
1810049J17Rik,79.87048864,67.83630501,71.12672872,67.08538404,41.92859761,84.05433287,63.49295589,72.40013754
1810055G02Rik,83.42028813,58.58589978,81.28768996,54.78639696,78.74395161,68.09464941,60.42071609,73.35277092
19.47525802-47711187.1,0.887449874,0,0,0,1.022648722,1.063978897,1.024079934,0.952633389
2-Mar,658.7917014,746.3028988,779.7260003,777.9248523,783.7464407,799.4857397,633.4830312,919.1987573
2-Sep,51.21192334,61.1669187,53.72270156,50.73844099,51.41178619,60.80107097,78.03670021,70.21819799
2.145048962-146444327.1,0,0,0,0,0,0,0,0
2010001E11Rik,0.887449874,0,0,0,0,0,0,0
2010003K11Rik,1.774899747,1.027822803,0,1.118089734,1.022648722,0,2.048159867,2.857900166
2010015M23Rik,3.549799495,1.027822803,0.92372375,3.354269202,4.090594889,3.191936691,6.144479602,3.810533554
2010110K18Rik,0.770363904,0,1.603703951,0,0.887725252,1.847205034,0.888967636,5.798111805
2010300F17Rik,0.887449874,0,0,2.236179468,0,1.063978897,0,0
2210008F06Rik,7.09959899,5.139114016,4.618618748,7.826628138,5.113243611,7.447852279,1.024079934,5.715800332
2310026I22Rik,0,2.055645606,0.92372375,2.236179468,0,1.063978897,0,0.952633389
2310031A07Rik,9.761948611,2.055645606,2.771171249,0,2.045297444,0,0,6.66843372
2310039H08Rik,7.987048864,12.33387364,8.313513746,7.826628138,9.2038385,19.15162015,9.216719403,5.715800332
2410015M20Rik,88.74498737,77.08671024,93.29609871,61.49493537,73.630708,85.11831176,79.87823483,96.21597225
2410024N13Rik,0,0,0,0,0,0,0,0
2610020F03Rik,0.887449874,0,0,1.118089734,0,0,0,0
2700012I20Rik,1.774899747,0,0.92372375,2.236179468,0,1.063978897,0,0
2700016F22Rik,0,5.139114016,0.92372375,6.708538404,0,6.383873382,7.168559536,4.763166943
2700046G09Rik,11.53684836,5.139114016,5.542342497,3.354269202,8.181189778,7.447852279,6.144479602,9.526333886
2700062C07Rik,49.69719293,38.02944372,48.95735873,35.77887149,29.65681295,42.55915588,27.65015821,41.9158691
2810403A07Rik,85.9457657,98.21168032,17.10273952,52.26965641,32.98409745,51.56227175,94.54998242,143.6727837
2810425M01Rik,0.887449874,0,0.92372375,3.354269202,2.045297444,0,1.024079934,2.857900166
2900055J20Rik,53.24699242,58.58589978,44.33873998,62.6130251,30.67946167,44.68711368,45.05951708,33.3421686
3-Mar,21.40600503,26.79902204,19.96280257,36.63551969,32.3873549,27.51975272,11.05914721,32.25439611
3-Sep,190.1161794,255.9002612,162.6851735,221.0209429,212.5097498,166.5434322,172.2145226,198.3908308
3100002H09Rik,0,0,0,0,0,0,0,0
3110018I06Rik,4.437249369,2.055645606,2.771171249,4.472358936,5.113243611,2.127957794,2.048159867,3.810533554
3110021N24Rik,7.987048864,11.30605083,4.618618748,5.59044867,1.022648722,8.511831176,12.2889592,0.952633389
3110070M22Rik,8.874498737,8.222582425,3.694894998,5.59044867,9.2038385,5.319894485,6.144479602,0
3110082I17Rik,1.612115149,0,1.678009197,0.907774618,0.830286268,1.932792543,0,3.857326042
4-Mar,285.7588593,231.2601307,314.9897986,251.5701901,221.9147727,245.7791252,226.3216654,174.3319101
4-Sep,292.7255386,224.0858256,257.3447766,231.9346151,254.8367534,227.9940628,292.6812276,276.8650526
4732491K20Rik,40.82269419,35.97379811,45.26246373,33.54269202,33.74740783,34.04732471,35.84279768,36.20006877
4831440E17Rik,0.887449874,1.027822803,0,0,1.022648722,4.255915588,1.024079934,2.857900166
4833407H14Rik,0.887449874,1.027822803,0,0,0,1.063978897,1.024079934,0
4833418N17Rik,0,0,0,1.118089734,0,1.063978897,2.048159867,0
4921501E09Rik,0,0,0,0,0,0,1.024079934,0
4921524L21Rik,0.887449874,0,0,0,0,0,0,0
4930426L09Rik,4.437249369,0,0.92372375,1.118089734,3.067946167,0,5.120399669,1.905266777
4930442H23Rik,1.774899747,0,0,1.118089734,1.022648722,0,3.072239801,3.810533554
4930444M15Rik,0,0,0,0,0,1.063978897,0,0
4930445N18Rik,0,0,0,0,0,0,1.024079934,0
4930455D15Rik,0,0,0,0,0,0,0,0
4930465K10Rik,1.774899747,1.027822803,0,1.118089734,0,0,2.048159867,0.952633389
4930480K23Rik,38.26338199,9.646305155,13.39121011,21.09349098,11.1973697,23.299819,19.05130279,33.09256638
4930505N22Rik,4.437249369,3.08346841,1.847447499,1.118089734,3.067946167,4.255915588,5.120399669,1.905266777
4930507D05Rik,0.887449874,0,0.92372375,1.118089734,1.022648722,1.063978897,2.048159867,0
4930515G13Rik,0,0,0.92372375,0,0,0,0,0.952633389
4930518I15Rik,0.887449874,3.08346841,5.542342497,5.59044867,4.090594889,4.255915588,4.096319735,3.810533554
4930519P11Rik,0.887449874,0,0,1.118089734,1.022648722,0,2.048159867,0
4930524J08Rik,0.887449874,2.055645606,2.771171249,0,0,1.063978897,0,0
4930535I16Rik,1.774899747,0,0,0,1.022648722,0,3.072239801,0
4930546C10Rik,0,0,0,0,0,0,0,0
4930552P12Rik,0.887449874,1.027822803,0.92372375,1.118089734,1.022648722,3.191936691,1.024079934,0
4930553M12Rik,0,0,0,0,0,0,0,0
4930563E18Rik,1.774899747,2.055645606,0,2.236179468,1.022648722,1.063978897,0,2.857900166
4930583I09Rik,0,0,0,0,0,0,0,0
4930598A11Rik,0,0,0,0,1.022648722,0,0,0
4931403G20Rik,2.662349621,2.055645606,0.92372375,1.118089734,3.067946167,4.255915588,3.072239801,3.810533554
4931409K22Rik,1.329918777,1.711099967,3.075595663,6.216512494,0,1.771291949,0.852434455,0
4931440J10Rik,0,1.027822803,0,0,0,1.063978897,0,0
4932430I15Rik,0,0,0,0,0,0,0,0
4933412A08Rik,0,0,0,1.118089734,1.022648722,0,0,0
4933415A04Rik,4.437249369,5.139114016,0.92372375,4.472358936,0,2.127957794,2.048159867,3.810533554
4933427I04Rik,12.42429823,11.30605083,6.466066247,11.18089734,13.29443339,5.319894485,12.2889592,9.526333886
5-Mar,121.0208854,198.9369232,165.7302211,154.9860867,97.70106649,105.6589513,114.0706492,120.5148457
5-Sep,1647.08977,2024.064841,2187.620059,2162.432253,1842.526584,1758.911764,1666.55715,1728.929064
5031415H12Rik,2.662349621,2.055645606,2.771171249,2.236179468,2.045297444,2.127957794,4.096319735,1.905266777
5330417H12Rik,0,0,0,0,0,0,0,0
5730596B20Rik,5.324699242,8.222582425,7.389789997,4.472358936,4.090594889,11.70376787,11.26487927,10.47896727
5930422O12Rik,0,2.055645606,0.92372375,1.118089734,1.022648722,2.127957794,0,2.857900166
6-Mar,1732.333348,2210.543581,2078.339918,2374.518995,1881.296558,2071.861711,1878.936645,1630.389085
6-Sep,194.075519,173.3554692,232.0529736,119.7345517,109.1622305,173.9453441,179.3262159,223.1808473
6030445D17Rik,1.774899747,3.08346841,2.771171249,2.236179468,4.090594889,2.127957794,5.120399669,3.810533554
6030452D12Rik,0,0,0,0,0,0,0,0
6330403N20Rik,0,1.027822803,0,2.236179468,0,0,1.024079934,2.857900166
6530411M01Rik,0.887449874,3.08346841,0,0,1.022648722,0,0,0.952633389
7-Mar,48.42027155,138.8580323,73.16491518,150.5860273,70.93905231,40.16475191,136.3045357,52.02937402
7-Sep,1313.367214,1074.99588,1217.785404,1215.248134,1005.548008,1060.986295,1254.749382,1218.272941
8-Mar,406.5229469,198.5500822,258.4852864,380.9148081,349.3919909,298.7311961,396.8709731,491.8944109
8-Sep,1173.894352,1284.684789,1264.62255,1245.353524,1200.71391,1082.319608,1118.456595,1048.2677
8030462N17Rik,205.8883707,163.4238257,184.7447499,167.7134601,192.2579598,189.3882437,168.9731891,192.4319445
9-Mar,122.4680826,129.5056732,149.6432474,135.2888578,116.5819543,107.4618686,91.1431141,103.8370394
9-Sep,218.1244151,261.4867758,260.5090502,202.5399676,304.9660246,344.5116238,178.6793951,282.6352999
9.104944562-105295281.1,0.887449874,0,1.847447499,2.236179468,1.022648722,1.063978897,5.120399669,0.952633389
9030612E09Rik,7.987048864,7.194759622,11.08468499,6.708538404,5.113243611,7.447852279,8.19263947,5.715800332
9130008F23Rik,5.324699242,8.222582425,6.466066247,3.354269202,4.090594889,2.127957794,4.096319735,5.715800332
9130011E15Rik,196.1264221,173.7020537,210.6090149,178.8943574,189.1900136,173.4285602,160.7805496,142.8950083
9130213A22Rik,1.774899747,0,0.92372375,1.118089734,3.067946167,1.063978897,4.096319735,1.905266777
930412E21Rik,0,0,0,0,0,0,1.024079934,0
9330132A10Rik,116.2559335,92.50405229,101.6096125,106.2185247,105.3328184,107.4618686,126.9859118,116.2212734
9330136K24Rik,12.42429823,10.27822803,7.389789997,11.18089734,8.181189778,20.21559904,18.43343881,6.66843372
9330161L09Rik,3.549799495,4.111291213,3.694894998,6.708538404,8.181189778,4.255915588,1.024079934,0.952633389
9430025C20Rik,2.662349621,6.166936819,3.694894998,3.354269202,1.022648722,2.127957794,4.096319735,3.810533554
9430097D07Rik,1.774899747,5.139114016,2.771171249,1.118089734,3.067946167,4.255915588,1.024079934,0.952633389
9430098F02Rik,0,1.027822803,0,0,0,0,0,0
9530027J09Rik,0,1.027822803,0.92372375,0,3.067946167,0,0,0
9830107B12Rik,1.774899747,0,0,1.118089734,0,1.063978897,2.048159867,0.952633389
9930111J21Rik1,0.428741759,16.08373024,14.88358847,8.115179262,0.988117132,3.707252124,1.484250024,12.71939721
9930111J21Rik2,60.83385346,91.89950301,63.2517796,79.97634654,87.37301775,85.72183571,94.61700779,90.85512633
a,0,1.027822803,0,1.118089734,0,0,0,0.952633389
A130006I12Rik,0,1.027822803,0,0,0,1.063978897,0,0
A1bg,0,0,0,0,0,0,0,0
A1cf,0.719884238,0,0,0,2.361843673,2.589244735,0.830716218,0.772759996
A230072I06Rik,0,0,0,0,0,0,0,0
A2m,130.0825084,152.6993133,163.022648,147.1395089,200.8547106,158.0708722,182.7761203,226.9705218
A330032B11Rik,3.549799495,1.027822803,6.466066247,3.354269202,4.090594889,4.255915588,1.024079934,2.857900166
A330069E16Rik,7.09959899,2.055645606,3.694894998,6.708538404,8.181189778,4.255915588,11.26487927,7.621067109
A330094K24Rik,9.761948611,6.166936819,4.618618748,5.59044867,4.090594889,3.191936691,11.26487927,5.715800332
A3galt2,520.0755283,501.5707835,471.2577413,527.8629892,233.7101825,290.9398905,288.4193659,228.8662045
A430046D13Rik,17.74899747,15.41734205,22.16936999,19.00752548,20.45297444,11.70376787,22.52975854,19.05266777
A4galt,344.2750203,211.9127746,310.4550755,273.9845599,386.8412238,377.7163214,352.2870072,314.6701711
A4gnt,0,0,0,0,0,0,0,0
A530064D06Rik,0,0,0.92372375,2.236179468,2.045297444,1.063978897,1.024079934,0
A530084C06Rik,0,0,0,0,0,0,0,0
A630075F10Rik,4.437249369,11.30605083,0.92372375,7.826628138,4.090594889,12.76774676,8.19263947,2.857900166
A730015C16Rik,0,0,1.847447499,4.472358936,0,0,5.120399669,3.810533554
A730061H03Rik,0,1.027822803,0,2.236179468,2.045297444,0,4.096319735,3.810533554
A730071L15Rik,0.887449874,0,0,4.472358936,1.022648722,1.063978897,1.024079934,0
A830052D11Rik,7.09959899,7.194759622,1.847447499,4.472358936,6.135892333,3.191936691,3.072239801,7.621067109
A930002H24Rik,0,1.027822803,0,0,0,1.063978897,2.048159867,0
A930007I19Rik,2.92757716,0,1.633295374,3.82997161,5.06424168,3.524679979,3.135119752,0.7290983
A930024N18Rik,3.549799495,5.139114016,1.847447499,4.472358936,3.067946167,5.319894485,3.072239801,1.905266777
A930035D04Rik,4.437249369,2.055645606,2.771171249,1.118089734,4.090594889,7.447852279,4.096319735,4.763166943
AA543186,2.662349621,2.055645606,0.92372375,0,1.022648722,1.063978897,0,0
Aaas,87.60359562,87.0208411,67.76585965,97.3265705,71.09681838,100.1684537,109.4549174,51.1878268
Aacs,1054.035656,1207.917651,1292.70383,1368.657943,1302.751543,1297.900025,1252.7431,1006.737315
Aadac,0.887449874,1.027822803,0,0,0,0,0,0.952633389
Aadacl2,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0
Aadacl4,0,0,0,0,0,0,0,0
Aadat,1.08271558,4.312137772,1.937699796,0,2.145215191,2.596172612,0.977482578,0.581120716
Aaed1,96.40429928,92.573669,124.1118,100.9727717,79.20105062,74.30558568,141.6210861,71.58501685
Aagab,253.5442265,302.4787708,343.8252776,262.1461501,254.7937676,247.283815,234.033585,264.3000289
Aak1,1420.271493,1993.784658,2197.607159,2007.44387,2387.839607,1803.708533,2103.048432,1660.138697
Aamdc,70.56197734,63.92557552,100.2698962,59.86446103,78.46770188,83.65307176,98.89796435,74.62137952
Aamp,118.5024337,128.7876559,141.0181429,148.7612017,156.943487,117.9276403,95.0304625,109.8360764
Aanat,1.963207643,4.927390068,0.681150781,1.760582333,0,1.569148909,3.437892847,1.500049113
Aar2,173.136915,178.4046344,198.5332324,189.0047481,241.9668829,196.5891465,244.2429498,292.0660943
Aard,17.74899747,16.44516485,15.70330374,20.12561521,20.45297444,17.02366235,18.43343881,17.147401
Aars,1431.025171,1207.021879,1569.439227,1226.283039,1493.361564,1140.271259,1373.902822,1260.31455
Aars2,164.1782266,193.230687,141.3297337,162.1230114,156.4652545,161.7247924,140.2989509,161.9476761
Aarsd1,169.3471665,143.7171574,167.8599441,190.6762517,149.8362883,153.3964234,137.1697149,170.3855346
Aasdh,11.61514536,31.72904724,48.44824577,14.92439015,31.2113812,32.24603645,47.00475005,70.2772983
Aasdhppt,146.1223712,136.6562469,146.5976078,150.7749842,170.7789112,163.5797362,111.8707923,129.4527132
Aass,1.845602589,0,2.881560403,2.325257312,2.126771534,0,0,3.259330027
Aatf,100.479498,113.2017627,105.0109218,92.41338324,82.9036121,111.1999348,112.4263688,90.34406703
Aatk,3011.553009,2354.351965,2702.989846,3082.796445,3559.746408,3109.22498,3077.452757,3496.45801
Abat,37.98877152,143.1232894,156.3280179,44.43881667,42.38870389,29.52865627,96.74247473,158.8371535
Abca1,1735.593872,1492.64271,1515.987013,1528.094449,1763.965436,1307.126843,1253.29692,1134.518404
Abca12,4.625438754,6.757670472,6.3202818,3.503783879,12.32043026,3.38881685,4.509044515,7.700941765
Abca13,0,1.027822803,0,0,0,0,0,0.952633389
Abca14,0,0,0,0,0,0,0,1.905266777
Abca15,0,0,0,0,0,0,0,0
Abca16,0,0,0.92372375,0,0,0,0,0
Abca17,3.485212,0,4.639869542,1.123234193,2.054708092,0,1.028791843,0
Abca2,3331.922968,3481.718646,4187.331891,3330.595559,3980.591703,3423.354386,3341.586939,2929.617481
Abca3,657.0912022,440.2852995,535.1471682,520.1031439,384.0580063,354.6280413,389.3237125,427.6776543
Abca4,4.063004404,0,4.178149918,2.511646351,0.519401863,1.080786803,0,0
Abca5,39.42443665,62.36943052,57.31024407,42.38557472,38.74632841,37.55673514,42.31559359,44.50672311
Abca6,19.52389722,24.66774728,26.78798874,10.06280761,0,0,36.86687761,14.28950083
Abca7,2180.853301,2184.611837,2561.351521,2532.739905,2210.09842,2102.331405,2363.313199,1951.927253
Abca8a,704.4298211,547.4330084,648.1077251,687.9526813,864.6495255,759.0548937,841.7020898,912.4485939
Abca8b,85.19518788,94.55969789,138.5585624,202.3742418,200.4391496,101.0779952,140.2989509,129.5581409
Abca9,151.530854,280.555575,176.4996217,207.3109864,238.0201266,214.5154339,245.5700989,306.4359011
Abcb10,146.4292292,163.4238257,157.9567612,156.5325628,155.4426058,155.340919,200.719667,163.8529428
Abcb11,0,0,0,0,0,0,0,0
Abcb1a,473.2578914,795.039089,44.4412581,42.77467695,79.13596245,70.51724769,783.9819945,465.9992823
Abcb1b,30.3726716,6.212071058,23.42212154,18.91339397,13.32743139,40.46274641,26.0258477,30.80448276
Abcb4,21.46337243,6.85070728,22.45294568,14.65278821,12.84458589,6.604163603,14.86555996,5.46051062
Abcb5,0,0,0.92372375,0,0,0,0,0
Abcb6,26.48308847,41.37782606,52.59917063,36.20735604,28.19980427,35.75167496,25.59874121,29.90780418
Abcb7,264.3602461,229.1620985,248.99971,228.854467,374.0069767,247.9179147,425.2114524,290.7414696
Abcb8,116.8073737,78.44490668,96.21624181,105.3672166,91.7387422,133.9477929,53.78973205,74.21845295
Abcb9,91.60955316,70.83885496,106.1570682,44.14528708,50.36062641,56.92268012,17.24515798,156.898399
Abcc1,123.3366567,174.3505898,263.1236604,506.4918437,369.3936501,172.7086,473.1920734,309.3171217
Abcc10,65.58824044,53.03819941,65.00823054,21.38881931,114.0714211,83.82222913,69.28811282,13.439035
Abcc12,12.43565591,11.81738621,14.4486467,18.9346529,8.370984661,7.671123911,6.509354472,5.131734281
Abcc2,0.532147721,0,1.107797753,0,2.844131883,0.638001043,1.842228454,2.649409259
Abcc3,16.63026619,23.11292253,14.55878059,13.42642033,55.35151874,45.65046305,17.67768085,20.01923266
Abcc4,137.1662917,205.2832859,81.52896227,215.8907796,63.39785127,115.2384994,113.1464009,122.0366003
Abcc5,581.1187491,652.9718238,727.2975512,632.4954394,601.1427213,632.4027003,645.0971826,514.7769641
Abcc6,0,2.689961283,1.934015175,11.28153137,1.605851978,0.556917405,10.33269407,3.490451559
Abcc8,120.4608944,215.3246013,193.9419101,105.6099753,67.52755281,134.2105634,290.6529192,119.6653193
Abcc9,27.30254814,33.59746707,13.32118133,21.49888946,17.51072927,13.29798191,23.62949659,11.90634664
Abcd1,7.09959899,23.63992447,0,6.708538404,17.38502828,10.63978897,27.65015821,6.66843372
Abcd2,220.9889141,161.8089408,229.9780306,242.4893318,243.3062392,179.866439,184.9882667,322.5090184
Abcd3,396.3560997,331.6627697,401.3588098,408.1836459,370.3120899,431.4304894,509.5952003,425.3221193
Abcd4,78.96057032,129.3776162,92.86328978,63.53550073,91.01510135,78.00799033,94.33206888,75.8712061
Abce1,776.0826321,688.8244559,727.1602461,646.2059499,613.44466,624.3918986,640.0056626,756.8306963
Abcf1,71.47528768,92.4580668,50.65001552,65.17455314,69.16593844,91.48550519,74.09463584,92.73888826
Abcf2,708.1849992,654.7231256,748.2162372,725.6402373,709.7182132,717.1217766,662.5797171,675.4170725
Abcf3,493.045449,333.3589765,463.1642021,377.9433566,397.8000003,295.5590304,424.332519,544.8273615
Abcg1,744.7833241,668.6718799,811.9098907,754.9011721,748.0208849,662.4057141,700.5932685,736.0214703
Abcg2,199.8864149,325.5142233,360.2421656,299.1096012,374.5367977,331.0227651,349.3252911,396.540141
Abcg3,0,0,0,0,0,0,0,0.952633389
Abcg4,164.9763649,147.4090028,213.4917162,215.2759875,191.7582816,151.4293623,198.7902617,158.3858814
Abcg5,0,0,0,0,0,1.063978897,0,0
Abcg8,0.90139956,1.961677972,0.938243619,0,0,0,1.040177286,0
Abhd1,34.55776908,29.90882704,17.02417446,21.13956331,38.32000938,31.9205893,70.25768481,68.42427925
Abhd10,47.20592637,21.43228109,75.8902458,95.9490935,34.94517638,65.6081897,24.02351363,45.31244966
Abhd11,156.6811241,167.7818471,125.8756633,146.7194213,141.4047142,137.4135011,136.6352095,128.8144748
Abhd12,686.3531186,571.1272696,555.6409469,423.3488929,710.9499673,680.5867315,650.107227,789.4321208
Abhd12b,1.316957092,1.52526759,1.970133306,0,0.667324289,0,0.668258219,0
Abhd13,131.1553326,115.2162602,111.9158236,127.8612168,125.1798169,125.6820285,113.4547386,133.6777595
Abhd14a,137.5155855,108.6969007,129.8860254,117.0023787,146.4390348,132.7526557,137.8619466,127.7773357
Abhd14b,38.47359772,32.55844975,40.88340783,58.99774043,88.63632938,29.15089428,28.4885183,53.76887479
Abhd15,18.29172259,41.31204063,17.49185509,30.10448487,36.46341991,17.73002906,16.2894681,27.41972836
Abhd16a,204.9232242,143.7957816,167.0003626,154.7533565,143.7316535,150.8081256,120.803015,205.3878218
Abhd16b,1.774899747,0,0,2.236179468,0,0,0,0.952633389
Abhd17a,158.7818195,138.4355024,177.4466761,125.1040454,157.0121861,123.4726289,125.8833827,158.9706985
Abhd17b,198.7887717,213.7871431,248.4816886,231.4445749,204.5297444,205.3479271,235.5383848,215.2951458
Abhd17c,114.8793191,147.6763722,150.521605,93.47686831,185.2267751,165.8361186,124.4032299,106.7384597
Abhd2,71.88343977,61.66936819,43.41501623,45.84167909,49.08713867,61.71077603,84.9986345,52.39483637
Abhd3,126.9381133,102.6645067,121.2128918,114.6443425,128.3507259,110.6117727,87.24790617,130.1855487
Abhd4,45.84811849,45.22784487,32.58633617,85.38333424,18.00694927,56.89928219,83.750673,62.20628842
Abhd5,86.35315649,151.5097,110.8883756,153.0716353,111.5059755,135.2042271,153.2028528,138.462235
Abhd6,184.4755587,168.1724829,204.4125845,149.3936324,190.2559206,186.3269512,185.5073897,192.6135186
Abhd8,730.8260138,718.809493,807.4757712,733.8257302,647.7483001,687.6247792,676.1995798,766.5109349
Abi1,319.0785442,281.6282564,297.3148296,317.1146948,270.5320512,218.6531841,253.239692,215.6184658
Abi2,186.4883164,176.9382678,217.5550216,208.0040082,194.3143626,188.0562973,169.6567576,158.4053425
Abi3,35.6826776,14.01272445,13.38290431,4.153511524,6.078343265,4.11435642,3.804281246,29.07299254
Abi3bp,108.4722919,93.77375378,92.2541146,75.74225728,88.98486893,160.3564917,102.9408049,67.92783977
Abl1,35.4956778,39.75351881,26.80189559,63.895548,33.49372949,43.85667749,39.64240292,23.49943876
Abl2,531.9691844,579.9299656,458.7524543,614.5478222,461.4862944,427.5388134,484.7573753,649.600462
Ablim1,2084.382307,2016.343742,2325.602642,2094.506329,1892.460251,2123.437825,2078.259207,1996.426238
Ablim2,190.9118651,220.9941067,278.2308891,291.0467962,298.6652823,110.136208,195.7045635,195.3649679
Ablim3,201.4511213,252.8444096,304.8288374,313.0651255,256.6848293,180.8764125,234.5143048,156.2318757
Abo,0.887449874,1.027822803,0.92372375,0,1.022648722,0,0,0
Abr,1944.807729,1970.015868,2152.158862,1856.688257,1686.651882,1441.946993,1626.492342,1381.857097
Abra,1.774899747,2.055645606,2.771171249,1.118089734,2.045297444,3.191936691,6.144479602,0.952633389
Abracl,13.42733514,34.23222792,12.16582897,19.72132656,19.67650529,11.34462927,29.72766247,18.91931966
Abt1,86.08263775,72.97541903,62.81321497,67.08538404,74.65335672,68.09464941,78.8541549,73.35277092
Abtb1,220.8854233,267.6858724,277.9587528,287.0041175,409.0812173,232.9904041,284.1097829,243.9119407
Abtb2,706.3257758,776.9258259,995.0141899,942.2046821,833.9932641,739.2353628,779.8187147,806.7489098
AC012382.1,0,0,0,1.118089734,0,0,0,0
AC012382.2,0,0,0,0,1.022648722,0,0,0
AC015800.4,10.33042398,10.6945042,15.78655779,14.2478669,8.309175002,18.74898533,8.888869682,16.27010813
AC021667.1,1.774899747,3.08346841,0.92372375,0,1.022648722,1.063978897,3.072239801,0
AC025622.3,0.887449874,0,0.92372375,1.118089734,1.022648722,0,1.024079934,0
AC026231.3,0.887449874,0,0.92372375,0,0,0,0,0
AC026478.1,6.212149116,0,0,6.708538404,0,0,0,5.715800332
AC027285.1,0,1.027822803,1.847447499,1.118089734,4.090594889,1.063978897,0,0
AC034099.1,0,0,0,0,0,0,0,0
AC068006.3,0,1.027822803,0,0,0,0,1.024079934,0
AC068006.4,0.887449874,1.027822803,0,1.118089734,1.022648722,1.063978897,0,0
AC073599.2,0.887449874,0,0,2.236179468,0,1.063978897,2.048159867,0.952633389
AC073599.3,0,0,0,0,0,0,0,0
AC074310.4,33.7230952,0,20.32192249,0,42.95124633,26.59947243,44.03543715,0
AC074312.5,23.38929113,50.73335612,58.9995283,42.91957569,21.87176223,53.73566432,61.56226888,82.04441842
AC074335.4,0.887449874,0,2.771171249,2.236179468,0,4.255915588,4.096319735,3.810533554
AC074336.1,0.887449874,1.027822803,0,1.118089734,2.045297444,5.319894485,5.120399669,0.952633389
AC079042.1,299.7748716,327.8954078,387.5932391,415.8538522,316.0480367,366.2837615,229.5940978,290.4488562
AC083948.4,0,0,0,0,0,0,0,0
AC083948.7,8.874498737,1.027822803,3.694894998,6.708538404,6.135892333,7.447852279,6.144479602,3.810533554
AC084109.5,9.305456359,5.321612114,8.830957437,5.640268385,8.562012616,9.640421674,5.034601556,13.25146373
AC084322.1,0,0,0,0,0,0,0,0
AC084390.5,4.437249369,8.222582425,4.618618748,1.118089734,4.090594889,0,5.120399669,0.952633389
AC084391.4,30.2881268,41.9372432,23.92904791,30.85843602,39.40050034,36.50071449,39.06599444,29.21972072
AC087062.10,3.24885513,2.257646872,5.167759944,0,3.474911121,0.779021644,0.749808512,1.394993887
AC087062.5,0,2.055645606,0,0,2.045297444,2.127957794,9.216719403,2.857900166
AC087062.7,3.453058068,5.257795934,2.026705492,11.8479099,9.084998678,8.980206195,6.530895377,7.811044975
AC087062.8,12.42429823,4.111291213,0.92372375,1.118089734,5.113243611,9.575810074,11.26487927,3.810533554
AC087115.1,1.271983389,0,0.661987398,0,0.732882062,1.525002733,0,3.611564289
AC087183.3,0,0,0,0,0,1.063978897,0,0
AC087420.7,0,0,0,0,0,1.063978897,0,0
AC087780.13,0,0,0.92372375,1.118089734,1.022648722,1.063978897,3.072239801,0.952633389
AC087780.9,2.662349621,0,0,3.354269202,1.022648722,0,1.024079934,1.905266777
AC087801.1,0,0,0,0,0,0,0,0
AC087801.10,0,1.027822803,0.92372375,1.118089734,1.022648722,0,2.048159867,0.952633389
AC087801.11,0.887449874,0,0,2.236179468,0,1.063978897,3.072239801,5.715800332
AC087801.2,0,0,0,0,0,0,0,0
