GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Camk2n2,5443.04809,-0.970035172,0.147256157,-6.587399748,4.48E-11,2.19E-09,
Gstp1,5047.888221,-0.896798442,0.136190472,-6.584883872,4.55E-11,2.22E-09,
Tecr,11985.48059,-1.000941615,0.152087803,-6.58134048,4.66E-11,2.27E-09,
Pcdha4,1797.39707,-1.318628836,0.200780928,-6.56750045,5.12E-11,2.48E-09,
Noxo1,83.42063214,-2.054466167,0.312935147,-6.565149957,5.20E-11,2.52E-09,
Suds3,385.7620869,1.185222477,0.180610054,6.562328355,5.30E-11,2.56E-09,
Zfp46,1541.046662,0.884707981,0.134983676,6.554184996,5.59E-11,2.70E-09,
Ccdc136,1959.809426,-0.964144673,0.147114713,-6.553693057,5.61E-11,2.70E-09,
Rpl13a,31888.74831,-0.800390304,0.12215567,-6.552215749,5.67E-11,2.72E-09,
Aifm3,281.6975657,1.390526703,0.212235757,6.551802208,5.68E-11,2.72E-09,
Ablim1,4343.195064,0.72475509,0.110659224,6.549432259,5.78E-11,2.75E-09,
Pcdhga5,133.50667,2.040826032,0.311593966,6.549632712,5.77E-11,2.75E-09,
Slc41a1,1573.019204,1.368959282,0.209040405,6.54877837,5.80E-11,2.75E-09,
Ccnyl1,579.7497539,1.025769183,0.156786005,6.542479242,6.05E-11,2.87E-09,
Zfp609,1049.233916,0.954426007,0.145953779,6.539234647,6.18E-11,2.92E-09,
Rpgrip1,359.5266076,-2.096464647,0.320746022,-6.536214029,6.31E-11,2.98E-09,
Mtss1l,145.2331772,1.725056487,0.264009573,6.53406795,6.40E-11,3.00E-09,
Tsc22d4,3488.120801,-0.988268289,0.151246317,-6.53416434,6.40E-11,3.00E-09,
Itgb4,307.5989415,2.193711855,0.335961325,6.529655926,6.59E-11,3.09E-09,
Cx3cl1,796.6532989,-1.420417326,0.217689271,-6.52497626,6.80E-11,3.18E-09,
Soga1,787.2985611,1.272273909,0.195167911,6.518868322,7.08E-11,3.30E-09,
Pcdhga9,134.4404575,1.847571317,0.283452399,6.518100836,7.12E-11,3.31E-09,
Elfn1,583.3375443,1.360276792,0.208704097,6.51772922,7.14E-11,3.31E-09,
Hspa12a,12728.72809,0.647508395,0.099360931,6.516730342,7.19E-11,3.33E-09,
Csf1r,843.6160943,-1.252994708,0.192287279,-6.516264177,7.21E-11,3.33E-09,
Cfap65,41.16352303,-2.519289851,0.386661782,-6.515487099,7.25E-11,3.34E-09,
RP23-388H13.4,1211.285822,-1.061255783,0.162915863,-6.514134129,7.31E-11,3.36E-09,
